scientific_name,common_name,family,habitat,edibility,description,notes
Agaricus bisporus,Organic Dried Champignon Mushrooms,Agaricus,Country of origin: Multiple Given; Product type: Food,unknown,Brand: FungusAmongUs; Manufacturer/Distributor: FungusAmongUs; Preservation method: Dried,"China, Serbia, South America, and USA; GenBank#: PV501041; DNA sequencing status: Successful; Note: product contains multiple species"
Agaricus sp.,Mushroom,Agaricus,Product type: Food,unknown,"Brand: Herbal Doctor; Manufacturer/Distributor: Murray International Trading Co, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Wolfiporia sp.,Indian Bread,Wolfiporia,Product type: Medicinal/Tea,unknown,Brand: East Dragon; Manufacturer/Distributor: Rong Shing Trading Company NY Inc; Preservation method: Dried,DNA sequencing FAILED: Failed
Ganoderma sp.,Organic Reishi Fruiting Body and Mycelia,Ganoderma,Product type: Medicinal/Tea,unknown,Brand: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Trametes sp.,Turkey Tail,Trametes,Product type: Medicinal/Tea,unknown,Brand: Lucky's Market; Manufacturer/Distributor: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Cordyceps sp.,Cordyceps,Cordyceps,Product type: Medicinal/Tea,unknown,Brand: Lucky's Market; Manufacturer/Distributor: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Agaricus bisporus,Portobello,Agaricus,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",GenBank#: PV501057; DNA sequencing status: Successful; Note: product contains multiple species
Inonotus sp.,Chaga,Inonotus,Product type: Medicinal/Tea,unknown,Brand: Lucky's Market; Manufacturer/Distributor: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Tuber sp.,"Dried Truffle, Truffle",Tuber,Product type: Food,unknown,Brand: Lucky's Market; Manufacturer/Distributor: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Suillus sp.,Slippery Jack Mushrooms,Suillus,Product type: Food,unknown,Brand: Forest Treasures; Manufacturer/Distributor: PHZ KASOL J.A. Kazberuk; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
Cantharellus cibarius,Yellow Chanterelle Mushroom,Cantharellus,Product type: Food,unknown,Brand: Forest Treasures; Manufacturer/Distributor: PHZ KASOL J.A. Kazberuk; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
Boletus edulis,Boletus edulis,Bolete,Product type: Food,unknown,Brand: Forest Treasures; Manufacturer/Distributor: PHZ KASOL J.A. Kazberuk; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
Cyclocybe chaxingu,Dried Mushroom,Cyclocybe,Country of origin: China; Product type: Food,unknown,"Brand: Shan Nan Hai Bei; Manufacturer/Distributor: Chengdu Yueyuehon Industry Co. Ltd., Splendid World Corp; Preservation method: Dried",GenBank#: PV501019; DNA sequencing status: Successful
Bolete sp.,Porchini Mushrooms,Bolete,Country of origin: Multiple Given; Product type: Food,unknown,"Brand: Roland; Manufacturer/Distributor: Roland Foods, LLC; Preservation method: Dried","China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru; DNA sequencing FAILED: Failed; Note: product contains multiple species"
Pleurotus sp.,Oyster Mushrooms,Pleurotus,Country of origin: Multiple Given; Product type: Food,unknown,"Brand: Roland; Manufacturer/Distributor: Roland Foods, LLC; Preservation method: Dried","China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru; DNA sequencing FAILED: Failed; Note: product contains multiple species"
Auricularia sp.,Black Fungus,Auricularia,Country of origin: Multiple Given; Product type: Food,unknown,"Brand: Roland; Manufacturer/Distributor: Roland Foods, LLC; Preservation method: Dried","China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru; DNA sequencing FAILED: Failed; Note: product contains multiple species"
Auricularia auricula,Dried Black Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,Brand: Japan Oata; Manufacturer/Distributor: Japan Oata; Preservation method: Dried,DNA sequencing FAILED: Failed
Agrocybe aegerita,Dried Msuhroom,Cyclocybe,Country of origin: China; Product type: Food,unknown,Brand: Japan Oata; Manufacturer/Distributor: Japan Oata; Preservation method: Dried,DNA sequencing FAILED: Failed
Auricularia sp.,Dried Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,"Brand: Wise Wife; Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",DNA sequencing FAILED: Failed
Cyclocybe chaxingu,Dehydrated Mushroom,Agaric,Country of origin: China; Product type: Food,unknown,"Manufacturer/Distributor: Blooming Import Inc., Taishan City Daxin Food Co., Ltd; Preservation method: Dried",Duplicate of 202132309?; DNA sequencing status: Successful
Bolete sp.,Dried Porchini,Bolete,Country of origin: Multiple Given; Product type: Food,unknown,Brand: FungusAmongUs; Manufacturer/Distributor: FungusAmongUs; Preservation method: Dried,"China, Serbia, South America, and USA; DNA sequencing FAILED: Failed; Note: product contains multiple species"
Bolete sp.,Dried Porchini,Bolete,Country of origin: Multiple Given; Product type: Food,unknown,Brand: FungusAmongUs; Manufacturer/Distributor: FungusAmongUs; Preservation method: Dried,"China, Serbia, South America, and USA; DNA sequencing FAILED: Failed; Note: product contains multiple species"
Bolete sp.,Dried Porchini,Bolete,Country of origin: Multiple Given; Product type: Food,unknown,Brand: FungusAmongUs; Manufacturer/Distributor: FungusAmongUs; Preservation method: Dried,"China, Serbia, South America, and USA; DNA sequencing FAILED: Failed; Note: product contains multiple species"
Auricularia cornea,Dried Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,"Brand: SLR Food Distribution Inc., USA; Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",GenBank#: PV501024; DNA sequencing status: Successful
Ganoderma lucidum,Ganoderma lucidum (Mycelium),Ganoderma,Product type: Medicinal/Tea,unknown,Brand: Pure Supplements Co; Manufacturer/Distributor: Pure Supplements Co; Preservation method: Dried,DNA sequencing FAILED: Failed
Ganoderma sp.,Organic Reishi Fruiting Body and Mycelia,Ganoderma,Country of origin: USA; Product type: Medicinal/Tea,unknown,"Brand: Peak Performance Life, LCC; Manufacturer/Distributor: Peak Performance Life LLC; Preservation method: Dried",DNA sequencing FAILED: Failed
"Blend of Grifola frondosa, Ganoderma lucidum, Lentinus edodes","Maitake Mushroom, Reishi Mushrooms, Shiitake Mushroom","Blend - Grifola, Ganoderma, Lentinula",Product type: Medicinal/Tea,unknown,Brand: Swanson; Manufacturer/Distributor: Swanson; Preservation method: Dried,DNA sequencing FAILED: Failed; Note: product contains multiple species
Ganoderma lucidum,Reishi Mushroom,Ganoderma,Product type: Medicinal/Tea,unknown,Brand: Wise Shrooms; Manufacturer/Distributor: Carlyle Nutritionals LLC; Preservation method: Dried,DNA sequencing FAILED: Failed
Inonotus sp.,"Wild Raw Chaga Mushroom Powder, Wild Black Siberian Chaga Powder",Inonotus,Product type: Medicinal/Tea,unknown,Brand: North American Herb & Spice; Manufacturer/Distributor: North American Herb & Spice; Preservation method: Dried,DNA sequencing FAILED: Failed
Russula sp.,Dried Yunnan Russula Mushroom,Russula,Country of origin: China; Product type: Food,unknown,"Brand: Nong Xiang; Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",DNA sequencing FAILED: Failed
Tremella sp.,Tremella,Tremella,Product type: Food,unknown,Brand: Grove Grow Notes; Manufacturer/Distributor: Lam Sheng Kee (HK) International Limited; Preservation method: Dried,DNA sequencing FAILED: Failed
Auricularia cornea,Black Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,Brand: Super Brand; Manufacturer/Distributor: IHA Beverage; Preservation method: Dried,GenBank#: PV501014; DNA sequencing status: Successful
Auricularia sp.,Dried Fungus,Auricularia,Product type: Food,unknown,Preservation method: Dried,DNA sequencing FAILED: Failed
Auricularia heimeur,Black Mushroom,Auricularia,Country of origin: Korea; Product type: Food,unknown,"Manufacturer/Distributor: Rhee Bros. Inc., Korean Farm, Inc.; Preservation method: Dried",GenBank#: PV501026; DNA sequencing status: Successful
Auricularia heimuer,"Dried Jew's Ear, Kikurage",Auricularia,Country of origin: China; Product type: Food,unknown,Manufacturer/Distributor: Ikko International Trading; Preservation method: Dried,GenBank#: PV501020; DNA sequencing status: Successful
Auricularia heimuer,Woodear,Auricularia,Product type: Food,unknown,Preservation method: Dried,GenBank#: PV501031; DNA sequencing status: Successful
Phallus indusiatus,Phallus indusiatus,Phallus,Country of origin: China; Product type: Food,unknown,"Manufacturer/Distributor: Henan Longrun Agricultural Technology Co, Ltd.; Preservation method: Dried",DNA sequencing FAILED: Failed
Auricularia heimuer,Black Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,Brand: Ontrue; Manufacturer/Distributor: Profusion Foods Inc.; Preservation method: Dried,GenBank#: PV501035; DNA sequencing status: Successful
Pleurotus sp.,King Trumpet Mushroom,Pleurotus,Country of origin: USA; Product type: Food,unknown,Brand: Hokto; Manufacturer/Distributor: Hokto Kinoko Company; Preservation method: Fresh,DNA sequencing FAILED: Failed
Auricularia heimuer,Black Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,Brand: City Aroma; Manufacturer/Distributor: Fujian Blue Lake Foods; Preservation method: Dried,"Compressed into little bricks. Also ""Northeast""; GenBank#: PV501003; DNA sequencing status: Successful"
Pleurotus sp.,Black Oyster Mushrooms,Pleurotus,Country of origin: Canada; Product type: Food,unknown,Brand: Enviro Specialty Mushrooms; Manufacturer/Distributor: Enviro Specialty Mushrooms; Preservation method: Fresh,DNA sequencing FAILED: Failed
Auricularia sp.,Wood Ear Mushrooms,Auricularia,Country of origin: China; Product type: Food,unknown,Brand: Concord Farms; Manufacturer/Distributor: Concord Farms; Preservation method: Fresh,DNA sequencing FAILED: Failed
Pleurotus sp.,Mini King Oyster Mushtroom,Pleurotus,Country of origin: Korea; Product type: Food,unknown,Brand: QooSine; Preservation method: Fresh,DNA sequencing FAILED: Failed
Flammulina sp.,Enoki Mushroom,Flammulina,Product type: Food,unknown,Preservation method: Fresh,DNA sequencing FAILED: Failed
Hypsizygus sp.,Bunapi Mushroom,Hypsizygus,Country of origin: USA; Product type: Food,unknown,Brand: Hokto; Manufacturer/Distributor: Hokto Kinoko Company; Preservation method: Fresh,DNA sequencing FAILED: Failed
Boletus aereus,Porcini Mushrooms,Bolete,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",GenBank#: PV501001; DNA sequencing status: Successful
Boletus bainiugan,Boletus,Bolete,Country of origin: EU; Product type: Food,unknown,Brand: Lesne Skarby; Manufacturer/Distributor: Monolith Baltic SIA; Preservation method: Dried,GenBank#: PV501032; DNA sequencing status: Successful
Boletus bainiugan,Yellow Boletes,Bolete,Country of origin: Multiple Given; Product type: Food,unknown,"Brand: Roland; Manufacturer/Distributor: Roland Foods, LLC; Preservation method: Dried","China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru; GenBank#: PV501050; DNA sequencing status: Successful; Note: product contains multiple species"
Boletus bainiugan,Porcini,Bolete,Country of origin: China; Product type: Food,unknown,Brand: Ha Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,GenBank#: PV501066; DNA sequencing status: Successful; Note: product contains multiple species
Pleurotus sp.,Not Applicable,Pleurotus,Product type: Food,unknown,Brand: Not Applicable; Manufacturer/Distributor: Not Applicable; Preservation method: Fresh,DNA sequencing FAILED: Failed
Flammulina sp.,Enoki Mushrooms,Flammulina,Country of origin: Taiwan; Product type: Food,unknown,Preservation method: Fresh,DNA sequencing FAILED: Failed
Agaricus sp.,Dried Fungus,Agaricus,Product type: Food,unknown,"Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",DNA sequencing FAILED: Failed
Cyclocybe aegerita,Cyclocybe aegerita,Cyclocybe,Country of origin: China; Product type: Food,unknown,"Manufacturer/Distributor: Sichuan Province Qingchuan County Chanzhen Industry Co., Ltd.; Preservation method: Dried",DNA sequencing FAILED: Failed
Boletus bainiugan,Hongos de Pino,Suillus,Country of origin: Ecuador; Product type: Food,unknown,Brand: Mama Miche; Manufacturer/Distributor: Mama Miche; Preservation method: Dried,GenBank#: PV501027; DNA sequencing status: Successful
Pholiota sp.,Nameko Mushrooms (Whole) in Water,Pholiota,Product type: Food,unknown,Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Volvariella sp.,Straw Mushroom,Volvariella,Product type: Food,unknown,Brand: Asian Taste; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Bolete sp.,Dried Porchini Mushrooms,Bolete,Country of origin: Italy; Product type: Food,unknown,Brand: Vanua(?); Preservation method: Dried,DNA sequencing FAILED: Failed
Stropharia rugoso annulata,Stropharia rugoso annulata Mushrooms,Stropharia,Product type: Food,unknown,Brand: Russian Style; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Boletus bainiugan,Cepes Dried Mushrooms Cut,Bolete,Country of origin: Poland; Product type: Food,unknown,Brand: Runoland; Manufacturer/Distributor: Runoland; Preservation method: Dried,GenBank#: PV501055; DNA sequencing status: Successful
Boletus luteus,Boletus luteus Mushrooms,Suillus,Product type: Food,unknown,Brand: Russian Style; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed
Imleria sp.,Bay Bolete,Imleria,Country of origin: EU; Product type: Food,unknown,Brand: Lesne Skarby; Manufacturer/Distributor: Monolith Baltic SIA; Preservation method: Dried,DNA sequencing FAILED: Failed
Boletus bainiugan,"Porcini, Cepe",Bolete,Product type: Food,unknown,Brand: Everything Mushrooms; Manufacturer/Distributor: Everything Mushrooms; Preservation method: Dried,GenBank#: PV501012; DNA sequencing status: Successful
Boletus bainiugan,Porcini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,GenBank#: PV501044; DNA sequencing status: Successful
Boletus bainiugan,Porcini,Bolete,Country of origin: Italy; Product type: Food,unknown,Brand: Giusto Sapore; Manufacturer/Distributor: Just Ryt Foods; Preservation method: Dried,GenBank#: PV501059; DNA sequencing status: Successful; Note: product contains multiple species
Coprinus comatus,Coprinus comatus,Coprinus,Country of origin: China; Product type: Food,unknown,Brand: Havista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,GenBank#: PV500998; DNA sequencing status: Successful
Tremella sp.,Dried White Fungus,Tremella,Country of origin: China; Product type: Food,unknown,"Brand: Huipu Food; Manufacturer/Distributor: Shanghai Huipu Food Co., Ltd.; Preservation method: Dried",DNA sequencing FAILED: Failed
Cordyceps militaris,Cordyceps Fungus,Cordyceps,Country of origin: China; Product type: Food,unknown,"Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",GenBank#: PV501053; DNA sequencing status: Successful; Note: product contains multiple species
Morchella sp.,Morchella,Morchella,Country of origin: China; Product type: Food,unknown,"Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Fusarium equiseti,Porchini Mushrooms,Bolete,Product type: Food,unknown,Brand: World Foods Market; Manufacturer/Distributor: World Foods Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Agrocybe aegerita,Agrocybe aegerita,Cyclocybe,Country of origin: China; Product type: Food,unknown,"Manufacturer/Distributor: SLR Food Distribution, Inc., USA; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Russula sp.,Scarlet Fungus,Russula,Country of origin: China; Product type: Food,unknown,Brand: Japan Oata; Manufacturer/Distributor: Tristar Food Wholesale Co Inc; Preservation method: Dried,DNA sequencing FAILED: Failed
Russula sp.,Scarlet Fungus,Russula,Country of origin: China; Product type: Food,unknown,Brand: Japan Oata; Manufacturer/Distributor: Tristar Food Wholesale Co Inc; Preservation method: Dried,DNA sequencing FAILED: Failed
Grifola frondosa,"Maitake, Hen of the Woods",Grifola,Country of origin: USA; Product type: Food,unknown,Brand: Hokto; Manufacturer/Distributor: Hokto Kinoko Company; Preservation method: Fresh,GenBank#: PV501005; DNA sequencing status: Successful
Suillus sp.,Chilian Mushroom,Suillus,Country of origin: South America; Product type: Food,unknown,Preservation method: Dried,"Bulk Product, Observer told it was from ""South America""; DNA sequencing FAILED: Failed"
Phallus sp.,Bamboo fungus,Phallus,Country of origin: China; Product type: Food,unknown,Brand: Ha Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,DNA sequencing FAILED: Failed; Note: product contains multiple species
Grifola frondosa,"Maitake, Hen of the Woods",Grifola,Product type: Food,unknown,Brand: Everything Mushrooms; Manufacturer/Distributor: Everything Mushrooms; Preservation method: Dried,GenBank#: PV501017; DNA sequencing status: Successful
Hericium erinaceus,Dried Monkey Head Mushroom,Hericium,Country of origin: China; Product type: Food,unknown,Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,GenBank#: PV501048; DNA sequencing status: Successful
Auricularia sp.,Black Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,Brand: Every Green International Ltd.; Manufacturer/Distributor: Every Green International Ltd.; Preservation method: Dried,DNA sequencing FAILED: Failed
Boletus edulis,Boletus edulis,Bolete,Country of origin: China; Product type: Food,unknown,Manufacturer/Distributor: Chuanzhen Industry Co Ltd; Preservation method: Dried,DNA sequencing FAILED: Failed
Boletus edulis,Boletus edulis,Russula,Country of origin: China; Product type: Food,unknown,Manufacturer/Distributor: Chuanzhen Industry Co Ltd; Preservation method: Dried,DNA sequencing FAILED: Failed
Boletus edulis,Boletus edulis,Agaric,Country of origin: China; Product type: Food,unknown,Manufacturer/Distributor: Chuanzhen Industry Co Ltd; Preservation method: Dried,DNA sequencing FAILED: Failed
Boletus edulis,Boletus edulis,Bolete,Country of origin: China; Product type: Food,unknown,Manufacturer/Distributor: Chuanzhen Industry Co Ltd; Preservation method: Dried,DNA sequencing FAILED: Failed
Hericium erinaceus,Lion's Mane,Hericium,Product type: Medicinal/Tea,unknown,Brand: Lucky's Market; Manufacturer/Distributor: Lucky's Market; Preservation method: Dried,GenBank#: PV501023; DNA sequencing status: Successful
Hericium erinaceus,Pom Pom Mushrooms,Hericium,Country of origin: USA; Product type: Food,unknown,Brand: Market District; Manufacturer/Distributor: Market District; Preservation method: Fresh,GenBank#: PV501051; DNA sequencing status: Successful
Hydnum ibericum,Chanterelle,Hydnum,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",GenBank#: PV501004; DNA sequencing status: Successful; Note: product contains multiple species
Agaricus blazei,Agaricus blazei,Agaricus,Country of origin: China; Product type: Food,unknown,Brand: Ha Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,I think?; DNA sequencing FAILED: Failed; Note: product contains multiple species
Hypomyces lactifluorum,Lobster,Hypomyces,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",GenBank#: PV501025; DNA sequencing status: Successful; Note: product contains multiple species
Hypsizygus,Beech Mushroom,Hypsizygus,Country of origin: USA; Product type: Food,unknown,Brand: Market District; Manufacturer/Distributor: Market District; Preservation method: Fresh,GenBank#: PV501034; DNA sequencing status: Successful
Cordyceps sp.,Cordyceps flowers,Cordyceps,Country of origin: China; Product type: Food,unknown,Brand: Ha Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,DNA sequencing FAILED: Failed; Note: product contains multiple species
Hypsizygus,Seafood Mushroom,Flammulina,Country of origin: China; Product type: Food,unknown,Brand: Xuerong; Manufacturer/Distributor: Shanghai Xuerong Biotechnology; Preservation method: Fresh,GenBank#: PV501049; DNA sequencing status: Successful
Ganoderma lucidum,Ganoderma lucidum,Ganoderma,Country of origin: China; Product type: Medicinal/Tea,unknown,"Brand: Lucky Eight Brand; Manufacturer/Distributor: Murray International Trading Co, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Hypsizygus,Seafood Mushroom,Flammulina,Country of origin: China; Product type: Food,unknown,Brand: Xuerong; Manufacturer/Distributor: Shanghai Xuerong Biotechnology; Preservation method: Fresh,GenBank#: PV501013; DNA sequencing status: Successful
Hypsizygus,Bunapi Mushroom,Hypsizygus,Country of origin: USA; Product type: Food,unknown,Brand: Hokto; Manufacturer/Distributor: Hokto Kinoko Company; Preservation method: Fresh,GenBank#: PV501022; DNA sequencing status: Successful
Tremella sp.,Fungus,Tremella,Country of origin: Singapore; Product type: Food,unknown,"Manufacturer/Distributor: China National Cereals, Oils, & Foodstuffs; Preservation method: Dried",DNA sequencing FAILED: Failed
Agaric sp.,Dehydrated Mushroom,Agaric,Country of origin: China; Product type: Food,unknown,"Manufacturer/Distributor: Blooming Import Inc., Taishan City Daxin Food Co., Ltd; Preservation method: Dried",DNA sequencing FAILED: Failed
Hericium sp.,Hon Yao Guo,Hericium,Country of origin: China; Product type: Food,unknown,"Brand: Golden Flower; Manufacturer/Distributor: S&Y Co., Ltd; Preservation method: Dried",DNA sequencing FAILED: Failed
Hypsizygus,Brown Beech Mushroom,Hypsizygus,Country of origin: China; Product type: Food,unknown,Preservation method: Fresh,GenBank#: PV501028; DNA sequencing status: Successful
Hypsizygus marmoreus,"Brown Beech Mushroom, Brown Shimeji",Hypsizygus,Country of origin: China; Product type: Food,unknown,"Brand: Freshmore; Manufacturer/Distributor: Chengdu Finc Bio-Tech Co., Ltd.; Preservation method: Fresh",GenBank#: PV501043; DNA sequencing status: Successful
Lyophyllum decastes,Fried Chicken,Lyophyllum,Country of origin: USA; Product type: Food,unknown,Brand: The Mushroomery; Manufacturer/Distributor: The Mushroomery; Preservation method: Dried,DNA sequencing FAILED: Failed
Hericium sp.,Monkeyhead Mushroom,Hericium,Country of origin: China; Product type: Food,unknown,"Brand: Fortune; Manufacturer/Distributor: Xiamen Sungiven Import & Export Co., Ltd.; Preservation method: Dried",DNA sequencing FAILED: Failed
Ganoderma lucidum,Ganoderma lucidum,Ganoderma,Country of origin: China; Product type: Food,unknown,Brand: Lucky Eight Brand; Manufacturer/Distributor: W.T.H. Ltd.; Preservation method: Dried,DNA sequencing FAILED: Failed
Ganoderma sp.,Reishi,Ganoderma,Country of origin: USA; Product type: Medicinal/Tea,unknown,Brand: Far West Fungi; Manufacturer/Distributor: Far West Fungi; Preservation method: Dried,DNA sequencing FAILED: Failed
Inonotus sp.,Chaga,Inonotus,Country of origin: USA; Product type: Medicinal/Tea,unknown,Brand: Far West Fungi; Manufacturer/Distributor: Far West Fungi; Preservation method: Dried,DNA sequencing FAILED: Failed
Agaricus blazei,Agaricus blazei,Agaricus,Country of origin: China; Product type: Food,unknown,Brand: HA Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,DNA sequencing FAILED: Failed
Hypsizygus marmoreus,"Brown Beech Mushroom, Brown Shimeji",Hypsizygus,Product type: Food,unknown,Brand: Freshmore; Preservation method: Fresh,GenBank#: PV501021; DNA sequencing status: Successful
Phallus sp.,Dried Bamboo Fungus,Phallus,Country of origin: China; Product type: Food,unknown,Brand: HA Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,DNA sequencing FAILED: Failed
Auricularia sp.,Black Fungus,Auricularia,Country of origin: China; Product type: Food,unknown,Brand: Super Brand; Preservation method: Dried,DNA sequencing FAILED: Failed
Hypsizygus marmoreus,Seafood Mushroom,Flammulina,Country of origin: China; Product type: Food,unknown,Brand: Xuerong; Manufacturer/Distributor: Shanghai Xuerong Biotechnology; Preservation method: Fresh,GenBank#: PV501033; DNA sequencing status: Successful
Cordyceps,Dried Cordyceps,Cordyceps,Product type: Food,unknown,"Brand: Nong Phu; Manufacturer/Distributor: L.A. Lucky Import & Export, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Imleria badia,Bay Bolete,Imleria,Country of origin: Poland; Product type: Food,unknown,Brand: Lowell; Manufacturer/Distributor: Lowell Intl Foods; Preservation method: Dried,GenBank#: PV501016; DNA sequencing status: Successful
Bolete sp.,Organic Dried Porchini Mushrooms,Bolete,Country of origin: Multiple Given; Product type: Food,unknown,Brand: FungusAmongUs; Manufacturer/Distributor: FungusAmongUs; Preservation method: Dried,"China, Serbia, South America, and USA; DNA sequencing FAILED: Failed; Note: product contains multiple species"
Lentinula edodes,Shiitake,Lentinula edodes,Country of origin: Multiple Given; Product type: Food,unknown,Brand: FungusAmongUs; Manufacturer/Distributor: FungusAmongUs; Preservation method: Dried,"China, Serbia, South America, and USA; GenBank#: PV501006; DNA sequencing status: Successful; Note: product contains multiple species"
Lentinula edodes,Mixed Edible Fungus for Stewing Soup,Lentinula edodes,Country of origin: China; Product type: Food,unknown,Brand: Ha Vista; Manufacturer/Distributor: Northern Food I/E Inc.; Preservation method: Dried,Not listed on ingredients? Mistranslation?; DNA sequencing status: Successful; Note: product contains multiple species
Lentinula edodes,Shiitake,Lentinula edodes,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",GenBank#: PV501039; DNA sequencing status: Successful; Note: product contains multiple species
Lentinula edodes,Oyster,Pleurotus,Country of origin: USA; Product type: Food,unknown,"Brand: Shrooms; Manufacturer/Distributor: Psychedlic Foods, LLC; Preservation method: Dried",DNA sequencing FAILED: Failed; Note: product contains multiple species
Flammulina sp.,Seafood Mushroom,Flammulina,Country of origin: China; Product type: Food,unknown,Brand: Xuerong; Manufacturer/Distributor: Shanghai Xuerong Biotechnology; Preservation method: Fresh,DNA sequencing FAILED: Failed
