,Month,Plate,Strip Number,Tube Number,,,Sample Location,iNaturalist Number,Validated By,Seq. Status,URL,Submitted By,Identification,Identification Per FDA Label,Binomial,Name of Product,Brand,First Pass ID,Manufacturer/Distributor,Country of Origin,1-tier administrative district,Barcode,Lot/Batch,Preservation Method,Product Type,Fungal Only/Mostly,Multiple species?,Homogenized?,Comments,GenBank#
2024,03,2,23,8,H,11,2024_23_8,202232219,Garrett,Successful,https://www.inaturalist.org/observations/202232219,hills47448,Agaricus bisporus,Organic Dried Champignon Mushrooms,Not Provided,Mushroom Medley,FungusAmongUs,Agaricus,FungusAmongUs,Multiple Given,Not Provided,Unknown,Unknown,Dried,Food,Y,Y,N,"China, Serbia, South America, and USA",PV501041
2024,03,1,11,2,B,11,2024_11_2,200470717,Andrew,Failed,https://www.inaturalist.org/observations/200470717,aldendirks,,Mushroom,Not Provided,Mushroom,Herbal Doctor,Agaricus,"Murray International Trading Co, Inc.",Not Provided,Not Provided,767533208913,Unknown,Dried,Food,Y,N,N,,
2024,03,1,11,1,A,11,2024_11_1,200481591,Andrew,Failed,https://www.inaturalist.org/observations/200481591,aldendirks,,Indian Bread,Not Provided,Indian Bread,East Dragon,Wolfiporia,Rong Shing Trading Company NY Inc,Not Provided,Not Provided,489705579316,Unknown,Dried,Medicinal/Tea,Y,N,N,,
2024,03,2,13,2,B,01,2024_13_2,201931864,Jessica,Failed,https://www.inaturalist.org/observations/201931864,verpahh,,Organic Reishi Fruiting Body and Mycelia,Not Provided,Reishi,Lucky's Market,Ganoderma,Unknown,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,2,16,2,B,04,2024_16_2,201933645,Kevin,Failed,https://www.inaturalist.org/observations/201933645,verpahh,,Turkey Tail,Not Provided,Turkey Tail,Lucky's Market,Trametes,Lucky's Market,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,2,16,1,A,04,2024_16_1,201934347,Kevin,Failed,https://www.inaturalist.org/observations/201934347,verpahh,,Cordyceps,Not Provided,Cordyceps,Lucky's Market,Cordyceps,Lucky's Market,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,3,27,8,H,03,2024_27_8,202559443,Jessica,Successful,https://www.inaturalist.org/observations/202559443,lothlin,Agaricus bisporus,Portobello,Not Provided,Mushroom Medley,Melissa's,Agaricus,"World Variety Produce, Inc.",France,Not Provided,045255152098,Unknown,Dried,Food,Y,Y,N,,PV501057
2024,03,2,15,7,G,03,2024_15_7,201938393,Kevin,Failed,https://www.inaturalist.org/observations/201938393,verpahh,,Chaga,Not Provided,Chaga,Lucky's Market,Inonotus,Lucky's Market,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,2,15,6,F,03,2024_15_6,201939062,Kevin,Failed,https://www.inaturalist.org/observations/201939062,verpahh,,"Dried Truffle, Truffle",Not Provided,Black Truffle Sea Salt,Lucky's Market,Tuber,Lucky's Market,Unknown,Not Provided,Unknown,Unknown,Dried,Food,N,N,Y,,
2024,03,1,11,7,G,11,2024_11_7,201952827,John Plischke,Failed,https://www.inaturalist.org/observations/201952827,dawnwehman,,Slippery Jack Mushrooms,Not Provided,Pickled Spicy Mix Mushrooms,Forest Treasures,Suillus,PHZ KASOL J.A. Kazberuk,Not Provided,Not Provided,5905643071392,359/23,Canned/Pickled/Brined,Food,Y,Y,N,,
2024,03,C,C2,1,,,03_C2_1,201953292,Garrett,Failed,https://www.inaturalist.org/observations/201953292,dawnwehman,,Yellow Chanterelle Mushroom,Cantharellus cibarius,Pickled Spicy Mix Mushrooms,Forest Treasures,Cantharellus,PHZ KASOL J.A. Kazberuk,Not Provided,Not Provided,5905643071392,359/23,Canned/Pickled/Brined,Food,Y,Y,N,,
2024,03,1,11,6,F,11,2024_11_6,201953731,John Plischke,Failed,https://www.inaturalist.org/observations/201953731,dawnwehman,,Boletus edulis,Boletus edulis,Pickled Spicy Mix Mushrooms,Forest Treasures,Bolete,PHZ KASOL J.A. Kazberuk,Not Provided,Not Provided,5905643071392,359/23,Canned/Pickled/Brined,Food,Y,Y,N,,
2024,03,1,07,8,H,07,2024_07_8,202127509,John Plischke,Successful,https://www.inaturalist.org/observations/202127509,johnplischke,Cyclocybe chaxingu,Dried Mushroom,Agrocybe aegerita,Dried Mushroom,Shan Nan Hai Bei,Cyclocybe,"Chengdu Yueyuehon Industry Co. Ltd., Splendid World Corp",China,Not Provided,6926249306342,GB/T 37749,Dried,Food,Y,N,N,,PV501019
2024,03,1,12,1,A,12,2024_12_1,201961912,John Plischke,Failed,https://www.inaturalist.org/observations/201961912,dawnwehman,,Porchini Mushrooms,Not Provided,Mixed Wild Mushrooms,Roland,Bolete,"Roland Foods, LLC",Multiple Given,Not Provided,041224448506,Unknown,Dried,Food,Y,Y,N,"China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru",
2024,03,1,12,2,B,12,2024_12_2,201962023,John Plischke,Failed,https://www.inaturalist.org/observations/201962023,dawnwehman,,Oyster Mushrooms,Not Provided,Mixed Wild Mushrooms,Roland,Pleurotus,"Roland Foods, LLC",Multiple Given,Not Provided,041224448506,Unknown,Dried,Food,Y,Y,N,"China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru",
2024,03,2,13,1,A,01,2024_13_1,201962299,John Plischke,Failed,https://www.inaturalist.org/observations/201962299,dawnwehman,,Black Fungus,Not Provided,Mixed Wild Mushrooms,Roland,Auricularia,"Roland Foods, LLC",Multiple Given,Not Provided,041224448506,Unknown,Dried,Food,Y,Y,N,"China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru",
2024,03,1,12,3,C,12,2024_12_3,201964373,John Plischke,Failed,https://www.inaturalist.org/observations/201964373,dawnwehman,,Dried Black Fungus,Auricularia auricula,Dried Black Fungus,Japan Oata,Auricularia,Japan Oata,China,Not Provided,891350001416,Unknown,Dried,Food,Y,N,N,,
2024,03,1,12,4,D,12,2024_12_4,201967164,John Plischke,Failed,https://www.inaturalist.org/observations/201967164,dawnwehman,,Dried Msuhroom,Agrocybe aegerita,Dried Mushroom,Japan Oata,Cyclocybe,Japan Oata,China,Not Provided,6937218915830,Unknown,Dried,Food,Y,N,N,,
2024,03,1,12,6,F,12,2024_12_6,201970411,John Plischke,Failed,https://www.inaturalist.org/observations/201970411,dawnwehman,,Dried Fungus,Not Provided,White Jade Fungus,Wise Wife,Auricularia,"SLR Food Distribution, Inc., USA",China,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,
2024,03,1,09,8,H,09,2024_09_8,202132726,John Plischke,Successful,https://www.inaturalist.org/observations/202132726,kimberly58,Cyclocybe chaxingu,Dehydrated Mushroom,Not Provided,Dehydrated Mushroom,Unknown,Agaric,"Blooming Import Inc., Taishan City Daxin Food Co., Ltd",China,Not Provided,734765031466,Unknown,Dried,Food,Y,N,N,Duplicate of 202132309?,
2024,03,2,23,2,B,11,2024_23_2,201971333,Garrett,Failed,https://www.inaturalist.org/observations/201971333,hills47448,,Dried Porchini,Not Provided,Mushroom Medley,FungusAmongUs,Bolete,FungusAmongUs,Multiple Given,Not Provided,719870600165,Unknown,Dried,Food,Y,Y,N,"China, Serbia, South America, and USA",
2024,03,2,23,3,C,11,2024_23_3,201971393,Garrett,Failed,https://www.inaturalist.org/observations/201971393,hills47448,,Dried Porchini,Not Provided,Mushroom Medley,FungusAmongUs,Bolete,FungusAmongUs,Multiple Given,Not Provided,719870600165,Unknown,Dried,Food,Y,Y,N,"China, Serbia, South America, and USA",
2024,03,2,23,4,D,11,2024_23_4,201971415,Garrett,Failed,https://www.inaturalist.org/observations/201971415,hills47448,,Dried Porchini,Not Provided,Mushroom Medley,FungusAmongUs,Bolete,FungusAmongUs,Multiple Given,Not Provided,719870600165,Unknown,Dried,Food,Y,Y,N,"China, Serbia, South America, and USA",
2024,03,1,06,6,F,06,2024_06_6,202103708,Kurt,Successful,https://www.inaturalist.org/observations/202103708,johnplischke,Auricularia cornea,Dried Fungus,Not Provided,Dried Fungus,"SLR Food Distribution Inc., USA",Auricularia,"SLR Food Distribution, Inc., USA",China,Not Provided,688474306547,B1Y20L01,Dried,Food,Y,N,N,,PV501024
2024,03,2,24,1,A,12,2024_24_1,201972810,Garrett,Failed,https://www.inaturalist.org/observations/201972810,hills47448,,Ganoderma lucidum (Mycelium),Ganoderma lucidum,Reishi Mushrooms,Pure Supplements Co,Ganoderma,Pure Supplements Co,Not Provided,Not Provided,X002QSANWF,95687,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,2,24,2,B,12,2024_24_2,201972826,Garrett,Failed,https://www.inaturalist.org/observations/201972826,hills47448,,Organic Reishi Fruiting Body and Mycelia,Not Provided,Reishi Mushroom,"Peak Performance Life, LCC",Ganoderma,Peak Performance Life LLC,USA,Not Provided,X0034ALDJV,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,2,24,3,C,12,2024_24_3,201972851,Garrett,Failed,https://www.inaturalist.org/observations/201972851,hills47448,,"Maitake Mushroom, Reishi Mushrooms, Shiitake Mushroom","Blend of Grifola frondosa, Ganoderma lucidum, Lentinus edodes",Full Spectrum Triple Mushroom Complex,Swanson,"Blend - Grifola, Ganoderma, Lentinula",Swanson,Not Provided,Not Provided,0876114113869,B 256791,Dried,Medicinal/Tea,Y,Y,Y,,
2024,03,2,24,4,D,12,2024_24_4,201972860,Garrett,Failed,https://www.inaturalist.org/observations/201972860,hills47448,,Reishi Mushroom,Ganoderma lucidum,Reishi Mushroom,Wise Shrooms,Ganoderma,Carlyle Nutritionals LLC,Not Provided,Not Provided,X003XAM369,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,2,24,5,E,12,2024_24_5,201972890,Garrett,Failed,https://www.inaturalist.org/observations/201972890,hills47448,,"Wild Raw Chaga Mushroom Powder, Wild Black Siberian Chaga Powder",Not Provided,ChagaMax,North American Herb & Spice,Inonotus,North American Herb & Spice,Not Provided,Not Provided,635824006084,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,1,12,8,H,12,2024_12_8,201972957,John Plischke,Failed,https://www.inaturalist.org/observations/201972957,dawnwehman,,Dried Yunnan Russula Mushroom,Not Provided,Yunnan Russula Mushroom,Nong Xiang,Russula,"SLR Food Distribution, Inc., USA",China,Not Provided,0688474309777,Unknown,Dried,Food,Y,N,N,,
2024,03,1,12,5,E,12,2024_12_5,201975756,Joshua Birkebak,Failed,https://www.inaturalist.org/observations/201975756,dawnwehman,,Tremella,Not Provided,Tremella,Grove Grow Notes,Tremella,Lam Sheng Kee (HK) International Limited,Not Provided,Not Provided,6949682812041,Unknown,Dried,Food,Y,N,N,,
2024,03,1,02,2,B,02,2024_02_2,202842713,April,Successful,https://www.inaturalist.org/observations/202842713,Birkebak,Auricularia cornea,Black Fungus,Not Provided,Dried Black Fungus (Strip),Super Brand,Auricularia,IHA Beverage,China,Not Provided,610232013459,U59,Dried,Food,Y,N,N,,PV501014
2024,03,2,15,4,D,03,2024_15_4,201987530,Kevin,Failed,https://www.inaturalist.org/observations/201987530,verpahh,,Unknown,Unknown,Dried Fungus,Unknown,Auricularia,Unknown,Unknown,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,
2024,03,3,26,6,F,02,2024_26_6,202557374,Jessica,Successful,https://www.inaturalist.org/observations/202557374,lothlin,Auricularia heimeur,Black Mushroom,Not Provided,Dried Black Mushroom,Unknown,Auricularia,"Rhee Bros. Inc., Korean Farm, Inc.",Korea,Not Provided,8804005000070,Unknown,Dried,Food,Y,N,N,,PV501026
2024,03,2,19,8,H,07,2024_19_8,201988607,Kevin,Successful,https://www.inaturalist.org/observations/201988607,kev317,Auricularia heimuer,"Dried Jew's Ear, Kikurage",Not Provided,Dried Mushroom (Kikurage),Unknown,Auricularia,Ikko International Trading,China,Not Provided,4902524200415,24.9.4,Dried,Food,Y,N,N,,PV501020
2024,03,2,14,8,H,02,2024_14_8,201993409,Kevin,Successful,https://www.inaturalist.org/observations/201993409,verpahh,Auricularia heimuer,Unknown,Unknown,Woodear,Unknown,Auricularia,Unknown,Unknown,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,PV501031
2024,03,2,15,5,E,03,2024_15_5,201988186,Kevin,Failed,https://www.inaturalist.org/observations/201988186,verpahh,,Phallus indusiatus,Phallus indusiatus,Bamboo Mushrooms,Unknown,Phallus,"Henan Longrun Agricultural Technology Co, Ltd.",China,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,
2024,03,2,19,4,D,07,2024_19_4,201997516,Kevin,Successful,https://www.inaturalist.org/observations/201997516,kev317,Auricularia heimuer,Black Fungus,Not Provided,Black Fungus,Ontrue,Auricularia,Profusion Foods Inc.,China,Not Provided,610563223084,Unknown,Dried,Food,Y,N,N,,PV501035
2024,03,2,19,5,E,07,2024_19_5,201988458,Kevin,Failed,https://www.inaturalist.org/observations/201988458,kev317,,King Trumpet Mushroom,Not Provided,King Trumpet Mushroom,Hokto,Pleurotus,Hokto Kinoko Company,USA,Not Provided,898626002146,Unknown,Fresh,Food,Y,N,N,,
2024,03,1,01,8,H,01,2024_01_8,202841135,Scott,Successful,https://www.inaturalist.org/observations/202841135,Birkebak,Auricularia heimuer,Black Fungus,Not Provided,Black Fungus,City Aroma,Auricularia,Fujian Blue Lake Foods,China,Not Provided,6922163601532,UF30,Dried,Food,Y,N,N,"Compressed into little bricks. Also ""Northeast""",PV501003
2024,03,2,13,6,F,01,2024_13_6,201988916,Jessica,Failed,https://www.inaturalist.org/observations/201988916,verpahh,,Black Oyster Mushrooms,Not Provided,Black Oyster Mushrooms,Enviro Specialty Mushrooms,Pleurotus,Enviro Specialty Mushrooms,Canada,Not Provided,914888009075,Unknown,Fresh,Food,Y,N,N,,
2024,03,2,20,6,F,08,2024_20_6,201989086,Kevin,Failed,https://www.inaturalist.org/observations/201989086,kev317,,Wood Ear Mushrooms,Not Provided,Wood Eat Mushrooms,Concord Farms,Auricularia,Concord Farms,China,Not Provided,049995050065,Unknown,Fresh,Food,Y,N,N,,
2024,03,2,20,3,C,08,2024_20_3,201989219,Kevin,Failed,https://www.inaturalist.org/observations/201989219,kev317,,Mini King Oyster Mushtroom,Not Provided,Mini King Oyster Mushtroom,QooSine,Pleurotus,Unknown,Korea,Not Provided,Unknown,Unknown,Fresh,Food,Y,N,N,,
2024,03,2,14,1,A,02,2024_14_1,201989343,Jessica,Failed,https://www.inaturalist.org/observations/201989343,verpahh,,Unknown,Unknown,Enoki Mushroom,Unknown,Flammulina,Unknown,Unknown,Not Provided,Unknown,Unknown,Fresh,Food,Y,N,N,,
2024,03,2,21,6,F,09,2024_21_6,201989408,Kevin,Failed,https://www.inaturalist.org/observations/201989408,kev317,,Bunapi Mushroom,Not Provided,Bunapi Mushroom,Hokto,Hypsizygus,Hokto Kinoko Company,USA,California,Unknown,NA,Fresh,Food,Y,N,N,,
2024,03,3,27,7,G,03,2024_27_7,202560801,Jessica,Successful,https://www.inaturalist.org/observations/202560801,lothlin,Boletus aereus,Porcini Mushrooms,Not Provided,Dried Porchini Mushrooms,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255116762,Unknown,Dried,Food,Y,N,N,,PV501001
2024,03,2,20,5,E,08,2024_20_5,201995658,Kevin,Successful,https://www.inaturalist.org/observations/201995658,kev317,Boletus bainiugan,Boletus,Boletus,Boletus,Lesne Skarby,Bolete,Monolith Baltic SIA,EU,Not Provided,5905643057556,Unknown,Dried,Food,Y,N,N,,PV501032
2024,03,1,11,8,H,11,2024_11_8,201961671,John Plischke,Successful,https://www.inaturalist.org/observations/201961671,dawnwehman,Boletus bainiugan,Yellow Boletes,Not Provided,Mixed Wild Mushrooms,Roland,Bolete,"Roland Foods, LLC",Multiple Given,Not Provided,041224448506,Unknown,Dried,Food,Y,Y,N,"China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru",PV501050
2024,03,1,07,7,G,07,2024_07_7,202125222,John Plischke,Successful,https://www.inaturalist.org/observations/202125222,johnplischke,Boletus bainiugan,Porcini,Not Provided,Mixed Edible Fungus for Stewing Soup,Ha Vista,Bolete,Northern Food I/E Inc.,China,Not Provided,754351198212,Unknown,Dried,Food,Y,Y,N,,PV501066
2024,03,2,13,3,C,01,2024_13_3,201990571,Jessica,Failed,https://www.inaturalist.org/observations/201990571,verpahh,,Not Applicable,Not Provided,King Oyster Mushroom,Not Applicable,Pleurotus,Not Applicable,Unknown,Not Provided,200659504854,Unknown,Fresh,Food,Y,N,N,,
2024,03,2,21,1,A,09,2024_21_1,201990655,Kevin,Failed,https://www.inaturalist.org/observations/201990655,kev317,,Enoki Mushrooms,Not Provided,Enoki Mushrooms,Unknown,Flammulina,Unknown,Taiwan,Not Provided,4711430630106,Unknown,Fresh,Food,Y,N,N,,
2024,03,2,15,2,B,03,2024_15_2,201991316,Kevin,Failed,https://www.inaturalist.org/observations/201991316,verpahh,,Unknown,Unknown,Dried Fungus,Unknown,Agaricus,"SLR Food Distribution, Inc., USA",Unknown,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,
2024,03,2,15,1,A,03,2024_15_1,201992476,Kevin,Failed,https://www.inaturalist.org/observations/201992476,verpahh,,Cyclocybe aegerita,Cyclocybe aegerita,"Chashugu, Tea Tree Mushroom",Unknown,Cyclocybe,"Sichuan Province Qingchuan County Chanzhen Industry Co., Ltd.",China,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,
2024,03,1,10,3,C,10,2024_10_3,202131857,John Plischke,Successful,https://www.inaturalist.org/observations/202131857,kimberly58,Boletus bainiugan,Hongos de Pino,Suillus luteus,Hongos Secos de Pino,Mama Miche,Suillus,Mama Miche,Ecuador,Not Provided,7861000216388,Unknown,Dried,Food,Y,N,N,,PV501027
2024,03,2,14,2,B,02,2024_14_2,201994331,Kevin,Failed,https://www.inaturalist.org/observations/201994331,verpahh,,Unknown,Unknown,Nameko Mushrooms (Whole) in Water,Unknown,Pholiota,Unknown,Unknown,Not Provided,Unknown,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,2,13,7,G,01,2024_13_7,201994762,Jessica,Failed,https://www.inaturalist.org/observations/201994762,verpahh,,Unknown,Unknown,Straw Mushroom,Asian Taste,Volvariella,Unknown,Unknown,Not Provided,Unknown,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,2,19,7,G,07,2024_19_7,201994932,Kevin,Failed,https://www.inaturalist.org/observations/201994932,kev317,,Dried Porchini Mushrooms,Not Provided,Dried Porchini Mushrooms,Vanua(?),Bolete,Unknown,Italy,Not Provided,044963568153,Unknown,Dried,Food,Y,N,N,,
2024,03,2,13,5,E,01,2024_13_5,201995128,Jessica,Failed,https://www.inaturalist.org/observations/201995128,verpahh,,Stropharia rugoso annulata Mushrooms,Stropharia rugoso annulata,Marinated Borovik Mushrooms,Russian Style,Stropharia,Unknown,Unknown,Not Provided,Unknown,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,1,09,7,G,09,2024_09_7,202132598,John Plischke,Successful,https://www.inaturalist.org/observations/202132598,kimberly58,Boletus bainiugan,Cepes Dried Mushrooms Cut,Boletus edulis,Dry Porcini Mushroom,Runoland,Bolete,Runoland,Poland,Not Provided,5901641000402,Unknown,Dried,Food,Y,N,N,,PV501055
2024,03,2,13,4,D,01,2024_13_4,201996067,Jessica,Failed,https://www.inaturalist.org/observations/201996067,verpahh,,Boletus luteus Mushrooms,Boletus luteus,Marinated Suillus Mushrooms,Russian Style,Suillus,Unknown,Unknown,Not Provided,Unknown,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,2,19,3,C,07,2024_19_3,201996359,Kevin,Failed,https://www.inaturalist.org/observations/201996359,kev317,,Bay Bolete,Not Provided,Bay Bolete,Lesne Skarby,Imleria,Monolith Baltic SIA,EU,Not Provided,5905643057570,Unknown,Dried,Food,Y,N,N,,
2024,03,1,04,2,B,04,2024_04_2,202889856,Kevin,Successful,https://www.inaturalist.org/observations/202889856,Birkebak,Boletus bainiugan,"Porcini, Cepe",Not Provided,"Porcini, Cepe Mushrooms",Everything Mushrooms,Bolete,Everything Mushrooms,Not Provided,Not Provided,5096,Not Provided,Dried,Food,Y,N,N,,PV501012
2024,03,3,26,5,E,02,2024_26_5,202862656,Garrett,Successful,https://www.inaturalist.org/observations/202862656,hills47448,Boletus bainiugan,Porcini Mushrooms,Not Provided,Porchini Mushrooms,World Foods Market,Bolete,World Foods Market,Not Provided,Not Provided,0200000203993,Unknown,Dried,Food,Y,N,N,,PV501044
2024,03,1,02,6,F,02,2024_02_6,202880683,Kevin,Successful,https://www.inaturalist.org/observations/202880683,Birkebak,Boletus bainiugan,Porcini,Boletus edulis,Truffle Risotto,Giusto Sapore,Bolete,Just Ryt Foods,Italy,Not Provided,86706302266,140223,Dried,Food,N,Y,N,,PV501059
2024,03,1,10,8,H,10,2024_10_8,202132010,John Plischke,Successful,https://www.inaturalist.org/observations/202132010,kimberly58,Coprinus comatus,Coprinus comatus,Coprinus comatus,Unknown,Havista,Coprinus,Northern Food I/E Inc.,China,Not Provided,754351196416,Unknown,Dried,Food,Y,N,N,,PV500998
2024,03,2,20,4,D,08,2024_20_4,201998482,Kevin,Failed,https://www.inaturalist.org/observations/201998482,kev317,,Dried White Fungus,Not Provided,Dried White Fungus,Huipu Food,Tremella,"Shanghai Huipu Food Co., Ltd.",China,Not Provided,6922601400574,Unknown,Dried,Food,Y,N,N,,
2024,03,2,14,4,D,02,2024_14_4,201999380,Kevin,Successful,https://www.inaturalist.org/observations/201999380,verpahh,Cordyceps militaris,Cordyceps Fungus,Not Provided,Yunnan Classical Mixed Mushroom,Unknown,Cordyceps,"SLR Food Distribution, Inc., USA",China,Not Provided,0688474308367,B3Y20L10,Dried,Food,Y,Y,N,,PV501053
2024,03,2,14,5,E,02,2024_14_5,201998883,Kevin,Failed,https://www.inaturalist.org/observations/201998883,verpahh,,Morchella,Morchella sp.,Yunnan Classical Mixed Mushroom,Unknown,Morchella,"SLR Food Distribution, Inc., USA",China,Not Provided,0688474308367,B3Y20L10,Dried,Food,Y,Y,N,,
2024,03,3,25,6,F,01,2024_25_6,202862480,Garrett,Failed,https://www.inaturalist.org/observations/202862480,hills47448,Fusarium equiseti,Porchini Mushrooms,Not Provided,Porchini Mushrooms,World Foods Market,Bolete,World Foods Market,Not Provided,Not Provided,0200000203993,Unknown,Dried,Food,Y,N,N,,
2024,03,2,14,3,C,02,2024_14_3,201999596,,Failed,https://www.inaturalist.org/observations/201999596,verpahh,,Agrocybe aegerita,Agrocybe aegerita,Yunnan Classical Mixed Mushroom,Unknown,Cyclocybe,"SLR Food Distribution, Inc., USA",China,Not Provided,0688474308367,B3Y20L10,Dried,Food,Y,Y,N,,
2024,03,1,06,4,D,06,2024_06_4,202097556,John Plischke,Failed,https://www.inaturalist.org/observations/202097556,johnplischke,,Scarlet Fungus,Not Provided,Dried Mushroom (Scarlet Fungus),Japan Oata,Russula,Tristar Food Wholesale Co Inc,China,Not Provided,6937218915717,Unknown,Dried,Food,Y,N,N,,
2024,03,1,06,1,A,06,2024_06_1,202099297,Kurt,Failed,https://www.inaturalist.org/observations/202099297,johnplischke,,Scarlet Fungus,Not Provided,Dried Mushroom (Scarlet Fungus),Japan Oata,Russula,Tristar Food Wholesale Co Inc,China,Not Provided,6937218915717,Unknown,Dried,Food,Y,N,N,,
2024,03,2,20,7,G,08,2024_20_7,201990039,Kevin,Successful,https://www.inaturalist.org/observations/201990039,kev317,Grifola frondosa,"Maitake, Hen of the Woods",Not Provided,Maitake (Hen of the Woods),Hokto,Grifola,Hokto Kinoko Company,USA,California,Unknown,Unknown,Fresh,Food,Y,N,N,,PV501005
2024,03,1,06,2,B,06,2024_06_2,202102130,John Plischke,Failed,https://www.inaturalist.org/observations/202102130,johnplischke,,Chilian Mushroom,Not Provided,Chilian Mushrooms,Not Provided,Suillus,Not Provided,South America,Not Provided,Not Provided,Not Provided,Dried,Food,Y,N,N,"Bulk Product, Observer told it was from ""South America""",
2024,03,1,07,1,A,07,2024_07_1,202103127,Kurt,Failed,https://www.inaturalist.org/observations/202103127,johnplischke,,Bamboo fungus,Not Provided,Mixed Edible Fungus for Stewing Soup,Ha Vista,Phallus,Northern Food I/E Inc.,China,Not Provided,754351198212,Unknown,Dried,Food,Y,Y,N,,
2024,03,1,04,3,C,04,2024_04_3,202889857,Kevin,Successful,https://www.inaturalist.org/observations/202889857,Birkebak,Grifola frondosa,"Maitake, Hen of the Woods",Not Provided,"Maitake Mushrooms, Hen of the Woods",Everything Mushrooms,Grifola,Everything Mushrooms,Not Provided,Not Provided,5099,Not Provided,Dried,Food,Y,N,N,,PV501017
