,Month,Plate,Strip Number,Tube Number,,,Sample Location,iNaturalist Number,Validated By,Seq. Status,URL,Submitted By,Identification,Identification Per FDA Label,Binomial,Name of Product,Brand,First Pass ID,Manufacturer/Distributor,Country of Origin,1-tier administrative district,Barcode,Lot/Batch,Preservation Method,Product Type,Fungal Only/Mostly,Multiple species?,Homogenized?,Comments,GenBank#
2024,03,1,12,7,G,12,2024_12_7,201971992,John Plischke,Successful,https://www.inaturalist.org/observations/201971992,dawnwehman,Hericium erinaceus,Dried Monkey Head Mushroom,Not Provided,Dried Mushrooms,Unknown,Hericium,Northern Food I/E Inc.,China,Not Provided,754351196333,Unknown,Dried,Food,Y,N,N,,PV501048
2024,03,1,08,1,A,08,2024_08_1,202105306,John Plischke,Failed,https://www.inaturalist.org/observations/202105306,johnplischke,,Black Fungus,Not Provided,Black Fungus,Every Green International Ltd.,Auricularia,Every Green International Ltd.,China,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,
2024,03,1,08,4,D,08,2024_08_4,202106625,John Plischke,Failed,https://www.inaturalist.org/observations/202106625,johnplischke,,Boletus edulis,Boletus edulis,niuganjun,Unknown,Bolete,Chuanzhen Industry Co Ltd,China,Not Provided,6922547652136,Unknown,Dried,Food,Y,N,N,,
2024,03,1,08,3,C,08,2024_08_3,202107268,John Plischke,Failed,https://www.inaturalist.org/observations/202107268,johnplischke,,Boletus edulis,Boletus edulis,niuganjun,Unknown,Russula,Chuanzhen Industry Co Ltd,China,Not Provided,6922547652136,Unknown,Dried,Food,Y,N,N,,
2024,03,1,08,2,B,08,2024_08_2,202108066,Kurt,Failed,https://www.inaturalist.org/observations/202108066,johnplischke,,Boletus edulis,Boletus edulis,niuganjun,Unknown,Agaric,Chuanzhen Industry Co Ltd,China,Not Provided,6922547652136,Unknown,Dried,Food,Y,N,N,,
2024,03,1,08,5,E,08,2024_08_5,202108364,John Plischke,Failed,https://www.inaturalist.org/observations/202108364,johnplischke,,Boletus edulis,Boletus edulis,niuganjun,Unknown,Bolete,Chuanzhen Industry Co Ltd,China,Not Provided,6922547652136,Unknown,Dried,Food,Y,N,N,,
2024,03,2,15,8,H,03,2024_15_8,201935856,Kevin,Successful,https://www.inaturalist.org/observations/201935856,verpahh,Hericium erinaceus,Lion's Mane,Not Provided,Lion's Mane,Lucky's Market,Hericium,Lucky's Market,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,Y,,PV501023
2024,03,2,21,4,D,09,2024_21_4,201988219,Kevin,Successful,https://www.inaturalist.org/observations/201988219,kev317,Hericium erinaceus,Pom Pom Mushrooms,Not Provided,Pom Pom Mushrooms,Market District,Hericium,Market District,USA,Not Provided,NA,NA,Fresh,Food,Y,N,N,,PV501051
2024,03,1,03,8,H,03,2024_03_8,234751471,Kevin,Successful,https://www.inaturalist.org/observations/234751471,Birkebak,Hydnum ibericum,Chanterelle,Not Provided,Chef Blend,Shrooms,Hydnum,"Psychedlic Foods, LLC",USA,Not Provided,819981012601,RS23077,Dried,Food,Y,Y,N,,PV501004
2024,03,1,07,4,D,07,2024_07_4,202113272,John Plischke,Failed,https://www.inaturalist.org/observations/202113272,johnplischke,,Agaricus blazei,Agaricus blazei,Mixed Edible Fungus for Stewing Soup,Ha Vista,Agaricus,Northern Food I/E Inc.,China,Not Provided,754351198212,Unknown,Dried,Food,Y,Y,N,I think?,
2024,03,1,03,7,G,03,2024_03_7,202885901,Kevin,Successful,https://www.inaturalist.org/observations/202885901,Birkebak,Hypomyces lactifluorum,Lobster,Not Provided,Chef Blend,Shrooms,Hypomyces,"Psychedlic Foods, LLC",USA,Not Provided,819981012601,RS23077,Dried,Food,Y,Y,N,,PV501025
2024,03,2,21,3,C,09,2024_21_3,201988117,Kevin,Successful,https://www.inaturalist.org/observations/201988117,kev317,Hypsizygus,Beech Mushroom,Not Provided,Beech Mushroom,Market District,Hypsizygus,Market District,USA,Not Provided,NA,NA,Fresh,Food,Y,N,N,,PV501034
2024,03,1,06,8,H,06,2024_06_8,202126330,John Plischke,Failed,https://www.inaturalist.org/observations/202126330,johnplischke,,Cordyceps flowers,Not Provided,Mixed Edible Fungus for Stewing Soup,Ha Vista,Cordyceps,Northern Food I/E Inc.,China,Not Provided,754351198212,Unknown,Dried,Food,Y,Y,N,,
2024,03,2,20,8,H,08,2024_20_8,201990490,Kevin,Successful,https://www.inaturalist.org/observations/201990490,kev317,Hypsizygus,Seafood Mushroom,Not Provided,Seafood Mushroom,Xuerong,Flammulina,Shanghai Xuerong Biotechnology,China,Not Provided,6953150182703,Unknown,Fresh,Food,Y,N,N,,PV501049
2024,03,1,10,6,F,10,2024_10_6,202131546,John Plischke,Failed,https://www.inaturalist.org/observations/202131546,kimberly58,,Ganoderma lucidum,Ganoderma lucidum,Ganoderma lucidum,Lucky Eight Brand,Ganoderma,"Murray International Trading Co, Inc.",China,Not Provided,767533920075,Unknown,Dried,Medicinal/Tea,Y,N,N,,
2024,03,2,16,3,C,04,2024_16_3,202375358,Kevin,Successful,https://www.inaturalist.org/observations/202375358,alexmerryman,Hypsizygus,Seafood Mushroom,Not Provided,Seafood Mushroom,Xuerong,Flammulina,Shanghai Xuerong Biotechnology,China,Not Provided,6953150182703,Unknown,Fresh,Food,Y,N,N,,PV501013
2024,03,2,17,3,C,05,2024_17_3,203264162,Kevin,Successful,https://www.inaturalist.org/observations/203264162,potatolord_lordofpotatoes,Hypsizygus,Bunapi Mushroom,Not Provided,Bunapi Mushroom,Hokto,Hypsizygus,Hokto Kinoko Company,USA,California,Unknown,Unknown,Fresh,Food,Y,N,N,,PV501022
2024,03,1,10,4,D,10,2024_10_4,202132216,John Plischke,Failed,https://www.inaturalist.org/observations/202132216,kimberly58,,Fungus,Not Provided,White Fungus,Unknown,Tremella,"China National Cereals, Oils, & Foodstuffs",Singapore,Not Provided,6920473991749,Unknown,Dried,Food,Y,N,N,,
2024,03,1,09,2,B,09,2024_09_2,202132309,John Plischke,Failed,https://www.inaturalist.org/observations/202132309,kimberly58,,Dehydrated Mushroom,Not Provided,Dehydrated Mushroom,Unknown,Agaric,"Blooming Import Inc., Taishan City Daxin Food Co., Ltd",China,Not Provided,734765031466,Unknown,Dried,Food,Y,N,N,,
2024,03,1,10,7,G,10,2024_10_7,202132461,John Plischke,Failed,https://www.inaturalist.org/observations/202132461,kimberly58,,Hon Yao Guo,Not Provided,Dried Hon Tao Guo,Golden Flower,Hericium,"S&Y Co., Ltd",China,Not Provided,647406012345,Unknown,Dried,Food,Y,N,N,,
2024,03,2,17,2,B,05,2024_17_2,203264164,Kevin,Successful,https://www.inaturalist.org/observations/203264164,potatolord_lordofpotatoes,Hypsizygus,Brown Beech Mushroom,Not Provided,Brown Beech Mushroom,Unknown,Hypsizygus,Unknown,China,Not Provided,697443470079,Unknown,Fresh,Food,Y,N,N,,PV501028
2024,03,2,19,6,F,07,2024_19_6,201989734,Kevin,Successful,https://www.inaturalist.org/observations/201989734,kev317,Hypsizygus marmoreus,"Brown Beech Mushroom, Brown Shimeji",Hypsizygus mamoreus,"Brown Beech Mushroom, Brown Shimeji",Freshmore,Hypsizygus,"Chengdu Finc Bio-Tech Co., Ltd.",China,Not Provided,6973637650068,Unknown,Fresh,Food,Y,N,N,,PV501043
2024,03,1,10,1,A,10,2024_10_1,202133022,John Plischke,Failed,https://www.inaturalist.org/observations/202133022,kimberly58,,Fried Chicken,Lyophyllum decastes,Fried Chicken,The Mushroomery,Lyophyllum,The Mushroomery,USA,Oregon,Not Provided,Unknown,Dried,Food,Y,N,N,,
2024,03,1,09,6,F,09,2024_09_6,202133118,John Plischke,Failed,https://www.inaturalist.org/observations/202133118,kimberly58,,Monkeyhead Mushroom,Not Provided,Dried Monkeyhead Mushroom,Fortune,Hericium,"Xiamen Sungiven Import & Export Co., Ltd.",China,Not Provided,7976351953,Unknown,Dried,Food,Y,N,N,,
2024,03,1,09,1,A,09,2024_09_1,202133204,Kurt,Failed,https://www.inaturalist.org/observations/202133204,kimberly58,,Ganoderma lucidum,Ganoderma lucidum,Ganoderma lucidum,Lucky Eight Brand,Ganoderma,W.T.H. Ltd.,China,Not Provided,767533206414,Unknown,Dried,Food,Y,N,N,,
2024,03,2,22,6,F,10,2024_22_6,202225965,Garrett,Failed,https://www.inaturalist.org/observations/202225965,johallar,,Reishi,Not Provided,Reishi,Far West Fungi,Ganoderma,Far West Fungi,USA,Not Provided,852944001328,865,Dried,Medicinal/Tea,Y,N,N,,
2024,03,2,22,4,D,10,2024_22_4,202226293,Garrett,Failed,https://www.inaturalist.org/observations/202226293,johallar,,Chaga,Not Provided,Chaga,Far West Fungi,Inonotus,Far West Fungi,USA,Not Provided,Not Provided,858,Dried,Medicinal/Tea,Y,N,N,,
2024,03,2,22,5,E,10,2024_22_5,202226632,Garrett,Failed,https://www.inaturalist.org/observations/202226632,johallar,,Agaricus blazei,Agaricus blazei,Agaricus blazei,HA Vista,Agaricus,Northern Food I/E Inc.,China,Not Provided,754351196447,Unknown,Dried,Food,Y,N,N,,
2024,03,2,13,8,H,01,2024_13_8,201990041,Jessica,Successful,https://www.inaturalist.org/observations/201990041,verpahh,Hypsizygus marmoreus,"Brown Beech Mushroom, Brown Shimeji",Hypsizygus mamoreus,"Brown Beech Mushroom, Brown Shimeji",Freshmore,Hypsizygus,Unknown,Unknown,Not Provided,Unknown,Unknown,Fresh,Food,Y,N,N,,PV501021
2024,03,2,22,8,H,10,2024_22_8,202227137,Garrett,Failed,https://www.inaturalist.org/observations/202227137,ookd,,Dried Bamboo Fungus,Not Provided,Dried Bamboo Fungus,HA Vista,Phallus,Northern Food I/E Inc.,China,Not Provided,754351197413,Unknown,Dried,Food,Y,N,N,,
2024,03,2,21,8,H,09,2024_21_8,202227316,Garrett,Failed,https://www.inaturalist.org/observations/202227316,alexmerryman,,Black Fungus,Not Provided,Dried Black Fungus (Whole),Super Brand,Auricularia,Unknown,China,Not Provided,610232031156,Unknown,Dried,Food,Y,N,N,,
2024,03,3,26,8,H,02,2024_26_8,202564314,Jessica,Successful,https://www.inaturalist.org/observations/202564314,lothlin,Hypsizygus marmoreus,Seafood Mushroom,Not Provided,Seafood Mushroom,Xuerong,Flammulina,Shanghai Xuerong Biotechnology,China,Not Provided,Unknown,Unknown,Fresh,Food,Y,N,N,,PV501033
2024,03,2,22,1,A,10,2024_22_1,202227760,Garrett,Failed,https://www.inaturalist.org/observations/202227760,alexmerryman,,Dried Cordyceps,Cordyceps,Natural Dessert Mix,Nong Phu,Cordyceps,"L.A. Lucky Import & Export, Inc.",Unknown,Not Provided,8938508492916,Unknown,Dried,Food,N,Y,N,,
2024,03,1,04,8,H,04,2024_04_8,202893857,Kevin,Successful,https://www.inaturalist.org/observations/202893857,Birkebak,Imleria badia,Bay Bolete,Boletus badius,Dried Bay Bolete,Lowell,Imleria,Lowell Intl Foods,Poland,Not Provided,617115021365,OP 405,Dried,Food,Y,N,N,,PV501016
2024,03,2,23,5,E,11,2024_23_5,202232145,Garrett,Failed,https://www.inaturalist.org/observations/202232145,hills47448,,Organic Dried Porchini Mushrooms,Not Provided,Mushroom Medley,FungusAmongUs,Bolete,FungusAmongUs,Multiple Given,Not Provided,Unknown,Unknown,Dried,Food,Y,Y,N,"China, Serbia, South America, and USA",
2024,03,2,23,1,A,11,2024_23_1,201971307,Garrett,Successful,https://www.inaturalist.org/observations/201971307,hills47448,Lentinula edodes,Shiitake,Not Provided,Mushroom Medley,FungusAmongUs,Lentinula edodes,FungusAmongUs,Multiple Given,Not Provided,719870600165,Unknown,Dried,Food,Y,Y,N,"China, Serbia, South America, and USA",PV501006
2024,03,1,07,2,B,07,2024_07_2,202110179,Joshua Birkebak,Successful,https://www.inaturalist.org/observations/202110179,johnplischke,Lentinula edodes,Unknown,Not Provided,Mixed Edible Fungus for Stewing Soup,Ha Vista,Lentinula edodes,Northern Food I/E Inc.,China,Not Provided,754351198212,Unknown,Dried,Food,Y,Y,N,Not listed on ingredients? Mistranslation?,
2024,03,1,03,5,E,03,2024_03_5,202885894,Kevin,Successful,https://www.inaturalist.org/observations/202885894,Birkebak,Lentinula edodes,Shiitake,Not Provided,Chef Blend,Shrooms,Lentinula edodes,"Psychedlic Foods, LLC",USA,Not Provided,819981012601,RS23077,Dried,Food,Y,Y,N,,PV501039
2024,03,1,03,6,F,03,2024_03_6,202885895,Kevin,Failed,https://www.inaturalist.org/observations/202885895,Birkebak,Lentinula edodes,Oyster,Not Provided,Chef Blend,Shrooms,Pleurotus,"Psychedlic Foods, LLC",USA,Not Provided,819981012601,RS23077,Dried,Food,Y,Y,N,,
2024,03,1,10,2,B,10,2024_10_2,202316256,John Plischke,Failed,https://www.inaturalist.org/observations/202316256,kimberly58,,Seafood Mushroom,Not Provided,Seafood Mushroom,Xuerong,Flammulina,Shanghai Xuerong Biotechnology,China,Not Provided,Unknown,Unknown,Fresh,Food,Y,N,N,,
2024,03,1,09,3,C,09,2024_09_3,202316535,John Plischke,Failed,https://www.inaturalist.org/observations/202316535,kimberly58,,Enoki,Not Provided,Enoki Mushroom,Ever Hills,Flammulina,Everhills Foods Inc,Korea,Not Provided,Unknown,Unknown,Fresh,Food,Y,N,N,,
2024,03,1,09,4,D,09,2024_09_4,202366732,John Plischke,Failed,https://www.inaturalist.org/observations/202366732,kimberly58,,Unknown,Unknown,Unknown,Unknown,Auricularia,Unknown,Unknown,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,"""From Mike Henry will link""",
2024,03,1,08,6,F,08,2024_08_6,202366864,John Plischke,Failed,https://www.inaturalist.org/observations/202366864,kimberly58,,Wild Morel,Not Provided,Wild Morels,Unknown,Morchella,Unknown,Unknown,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,
2024,03,2,16,7,G,04,2024_16_7,203264160,Kurt,Successful,https://www.inaturalist.org/observations/203264160,potatolord_lordofpotatoes,Lentinula edodes,Winter Mushrooms,Not Provided,Winter Mushrooms,Daido Market,Lentinula edodes,Daido Market,Not Provided,Not Provided,0204001905191,Unknown,Fresh,Food,Y,N,N,,PV501061
2024,03,1,11,3,C,11,2024_11_3,200467305,Andrew,Successful,https://www.inaturalist.org/observations/200467305,aldendirks,"Lyophyllum ""decastes-CHINA01""",Lyophyllum decastes,Lyophyllum decastes,Lyophyllum decastes,Japan Oata,Lyophyllum,Xin Fuji Co.,China,Not Provided,6937218915687,Unknown,Dried,Food,Y,N,N,,PV501040
2024,03,1,09,5,E,09,2024_09_5,202367160,John Plischke,Failed,https://www.inaturalist.org/observations/202367160,kimberly58,,Candy Cap,Lactarius rubidus,Candy Cap Powder,The Mushroomery,Lactarius,The Mushroomery,USA,Oregon,None,Unknown,Dried,Food,Y,N,N,,
2024,03,2,16,5,E,04,2024_16_5,202375300,Kevin,Failed,https://www.inaturalist.org/observations/202375300,alexmerryman,,Straw Mushrooms,Not Provided,Straw Mushrooms Whole Peeled (Medium),Lucky Crown Brand,Volvariella,"L.A. Lucky Import & Export, Inc.",Vietnam,Not Provided,820678201604,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,2,14,7,G,02,2024_14_7,201997433,Kevin,Successful,https://www.inaturalist.org/observations/201997433,verpahh,"Lyophyllum ""decastes-CHINA01""",Antler Mushroom,Not Provided,Mushroom Soup Mix,Unknown,Lyophyllum,Lin's Waha International Corp.,China,Not Provided,6977776668212,Unknown,Dried,Food,Y,Y,N,,PV501008
2024,03,2,16,4,D,04,2024_16_4,202375426,Kevin,Failed,https://www.inaturalist.org/observations/202375426,alexmerryman,,"King Oyster Mushroom, Pleurotus eryngii",Pleurotus eryngii,King Oyster Mushroom,Detan,Pleurotus,"Shanghai DETAN Muhsrooms & Truffles Co., Ltd.",China,Not Provided,6970791811397,Unknown,Fresh,Food,Y,N,N,,
2024,03,2,24,6,F,12,2024_24_6,202461268,Garrett,Failed,https://www.inaturalist.org/observations/202461268,hills47448,,Black Fungus,Not Provided,Dried Black Fungus,Wei-Chuan,Auricularia,"Wei-Chuan U.S.A., Inc.",China,Not Provided,072869231314,Unknown,Dried,Food,Y,N,N,,
2024,03,1,07,3,C,07,2024_07_3,202111877,John Plischke,Successful,https://www.inaturalist.org/observations/202111877,johnplischke,"Lyophyllum ""decastes-CHINA01""",Velvet Antler Mushroom,Not Provided,Mixed Edible Fungus for Stewing Soup,Ha Vista,Hypsizygus,Northern Food I/E Inc.,China,Not Provided,754351198212,Unknown,Dried,Food,Y,Y,N,I think?,PV501062
2024,03,3,27,1,A,03,2024_27_1,202558218,Jessica,Failed,https://www.inaturalist.org/observations/202558218,lothlin,,Black Fungus,Not Provided,Black Fungus,Dragonfly,Auricularia,U.S. Trading Company,China,Not Provided,721557510667,Unknown,Fresh,Food,Y,N,N,,
2024,03,3,29,1,A,05,2024_29_1,202558228,Jessica,Failed,https://www.inaturalist.org/observations/202558228,lothlin,,Porchini,Not Provided,Mushroom Medley,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255152098,Unknown,Dried,Food,Y,Y,N,,
2024,03,3,26,7,G,02,2024_26_7,202558697,Jessica,Failed,https://www.inaturalist.org/observations/202558697,lothlin,,Porchini,Not Provided,Mushroom Medley,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255152098,Unknown,Dried,Food,Y,Y,N,,
2024,03,2,18,7,G,06,2024_18_7,202614658,Harte,Successful,https://www.inaturalist.org/observations/202614658,andrewcannon,Marasmius oreades,Fairy Ring Mushroom,Not Provided,Dried Selected Mushrooms Mix,Unknown,Marasmius,Cascada International Corp.,EU,Not Provided,Unknown,Unknown,Dried,Food,Y,Y,N,,
2024,03,3,28,7,G,04,2024_28_7,202559276,Jessica,Failed,https://www.inaturalist.org/observations/202559276,lothlin,,Porchini,Not Provided,Mushroom Medley,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255152098,Unknown,Dried,Food,Y,Y,N,,
2024,03,1,06,5,E,06,2024_06_5,202099852,Kurt,Successful,https://www.inaturalist.org/observations/202099852,johnplischke,Morchella eximia,Morel,Not Provided,Dried Morel,Ha Vista,Morchella,Northern Food I/E Inc.,China,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,PV501063
2024,03,3,29,5,E,05,2024_29_5,202559798,Jessica,Failed,https://www.inaturalist.org/observations/202559798,lothlin,,Oyster?,Not Provided,Mushroom Medley,Melissa's,Agaricales,"World Variety Produce, Inc.",France,Not Provided,045255152098,Unknown,Dried,Food,Y,Y,N,,
2024,03,3,27,5,E,03,2024_27_5,202560758,Jessica,Failed,https://www.inaturalist.org/observations/202560758,lothlin,,Porchini Mushrooms,Not Provided,Dried Porchini Mushrooms,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255116762,Unknown,Dried,Food,Y,N,N,,
2024,03,1,08,7,G,08,2024_08_7,202367050,John Plischke,Successful,https://www.inaturalist.org/observations/202367050,kimberly58,Morchella importuna,Wild Morel,Not Provided,Wild Morels,Unknown,Morchella,Unknown,Unknown,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,PV501037
2024,03,3,28,1,A,04,2024_28_1,202560830,Jessica,Failed,https://www.inaturalist.org/observations/202560830,lothlin,,Porcini,Not Provided,Mushroom Medley,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255152098,Unknown,Dried,Food,Y,Y,N,,
2024,03,3,28,3,C,04,2024_28_3,202560855,Jessica,Failed,https://www.inaturalist.org/observations/202560855,lothlin,,Porchini Mushrooms,Not Provided,Dried Porchini Mushrooms,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255116762,Unknown,Dried,Food,Y,N,N,,
2024,03,3,28,5,E,04,2024_28_5,202560885,Jessica,Failed,https://www.inaturalist.org/observations/202560885,lothlin,,Porchini Mushrooms,Not Provided,Dried Porchini Mushrooms,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255116762,Unknown,Dried,Food,Y,N,N,,
2024,03,3,27,3,C,03,2024_27_3,202560904,Jessica,Failed,https://www.inaturalist.org/observations/202560904,lothlin,,Porchini Mushrooms,Not Provided,Dried Porchini Mushrooms,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255116762,Unknown,Dried,Food,Y,N,N,,
2024,03,3,29,3,C,05,2024_29_3,202560926,Jessica,Failed,https://www.inaturalist.org/observations/202560926,lothlin,,Porchini Mushrooms,Not Provided,Dried Porchini Mushrooms,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255116762,Unknown,Dried,Food,Y,N,N,,
2024,03,3,29,6,F,05,2024_29_6,202560955,Jessica,Failed,https://www.inaturalist.org/observations/202560955,lothlin,,Porchini Mushrooms,Not Provided,Dried Porchini Mushrooms,Melissa's,Bolete,"World Variety Produce, Inc.",France,Not Provided,045255116762,Unknown,Dried,Food,Y,N,N,,
2024,03,3,29,2,B,05,2024_29_2,202561120,Jessica,Failed,https://www.inaturalist.org/observations/202561120,lothlin,,Unknown,Unknown,Unknown,Unknown,Ophiocordyceps,Unknown,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,N,,
2024,03,3,28,8,H,04,2024_28_8,202561969,Jessica,Failed,https://www.inaturalist.org/observations/202561969,lothlin,,Termite Mushroom,Termitomyces fuliginosus,Termite Mushroom in Brine,Wanatip,Termitomyces,Wanatip,Thailand,Not Provided,8857117180116,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,3,28,6,F,04,2024_28_6,202563931,Jessica,Failed,https://www.inaturalist.org/observations/202563931,lothlin,,Black Mushroom,Astraeus hygrometrieus,Black Mushroom in Brine,Singing Bird Brand,Astraeus,"T.P. Food Canning Ltd., PART.",Thailand,Not Provided,8854680000687,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,3,28,4,D,04,2024_28_4,202563988,Jessica,Failed,https://www.inaturalist.org/observations/202563988,lothlin,,Straw Mushrooms,Not Provided,Unpeeled Whole Straw Mushrooms,Asian Best Brand,Volvariella,Eastland Food Corporation,Vietnam,Not Provided,083737108072,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,3,27,2,B,03,2024_27_2,202564051,Jessica,Failed,https://www.inaturalist.org/observations/202564051,lothlin,,Whole Oyster Mushroom,Not Provided,Whole Oyster Mushrooms in Brine,Asian Best Brand,Pleurotus,Eastland Food Corporation,Thailand,Not Provided,083737220828,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,3,29,4,D,05,2024_29_4,202564093,Jessica,Failed,https://www.inaturalist.org/observations/202564093,lothlin,,Abalone Mushrooms,Not Provided,Abalone Mushroom in Brine,Tas Brand,Pleurotus,"Vara Food and Drink Co., Ltd.",Thailand,Not Provided,804531413007,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,3,27,6,F,03,2024_27_6,202564154,Jessica,Failed,https://www.inaturalist.org/observations/202564154,lothlin,,Oyster Mushrooms,Not Provided,Oyster Mushrooms in Brine,Tas Brand,Pleurotus,"Vara Food and Drink Co., Ltd.",Thailand,Not Provided,804531413106,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,3,28,2,B,04,2024_28_2,202564232,Jessica,Failed,https://www.inaturalist.org/observations/202564232,lothlin,,Brown Shimeji Mushroom,Not Provided,Brown Shimeji Mushroom,Hualvbio,Lyophyllum,"Jiangsu Hualv Biological Technology Co., Ltd.",China,Not Provided,6974434700079,Unknown,Fresh,Food,Y,N,N,,
2024,03,1,07,5,E,07,2024_07_5,202110547,Kurt,Successful,https://www.inaturalist.org/observations/202110547,johnplischke,Morchella sextelata,Morel,Not Provided,Mixed Edible Fungus for Stewing Soup,Ha Vista,Morchella,Northern Food I/E Inc.,China,Not Provided,754351198212,Unknown,Dried,Food,Y,Y,N,,PV501029
2024,03,2,24,7,G,12,2024_24_7,202568738,Garrett,Failed,https://www.inaturalist.org/observations/202568738,hills47448,,White Truffle,Tuber magnatum,Gourmet White Truffle Salt,Gourmet Line,Tuber,Le Vie Del Tartufo S.R.L.,Italy,Not Provided,8050705531110,Unknown,Dried,Food,N,N,Y,,
2024,03,3,25,1,A,01,2024_25_1,202568757,Garrett,Failed,https://www.inaturalist.org/observations/202568757,hills47448,,"Summer Truffle, Tuber aestivum Vitt.",Tuber aestivum,Whole Truffle in Brine,Gourmanity Tartufi,Tuber,Gourmanity,Italy,Not Provided,810104762427,Unknown,Canned/Pickled/Brined,Food,Y,N,N,,
2024,03,2,17,5,E,05,2024_17_5,202613923,Harte,Failed,https://www.inaturalist.org/observations/202613923,andrewcannon,,Not Applicable,Not Provided,Not Provided,Not Applicable,Helvella,Mercado de San Juan Stand 261,Not Provided,Not Provided,Not Applicable,Not Applicable,Dried,Food,Y,N,N,,
2024,03,2,17,7,G,05,2024_17_7,202614235,Harte,Failed,https://www.inaturalist.org/observations/202614235,andrewcannon,Hypomyces and Hypsizygus,Not Applicable,Not Provided,Not Provided,Not Applicable,Ramaria,Mercado de San Juan Stand 261,Not Provided,Not Provided,Not Applicable,Not Applicable,Dried,Food,Y,N,N,,
2024,03,1,08,8,H,08,2024_08_8,202366968,John Plischke,Successful,https://www.inaturalist.org/observations/202366968,kimberly58,Morchella sextelata,Wild Morel,Not Provided,Wild Morels,Unknown,Morchella,Unknown,Unknown,Not Provided,Unknown,Unknown,Dried,Food,Y,N,N,,PV501002
2024,03,1,01,1,A,01,2024_01_1,202835498,April,Failed,https://www.inaturalist.org/observations/202835498,Birkebak,,Summer Truffle,Tuber aestivum,Black Truffle and Mushrooms,Urbani Truffles,Tuber,Not Provided,Italy,Not Provided,845780036043,L.M032,Canned/Pickled/Brined,Food,N,Y,Y,,
